66.249.65.178 bot - "2022-12-15 04:54:11" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.178 bot - "2022-12-15 05:57:17" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/7 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.5304.115 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
148.206.53.224 - - "2022-12-15 10:07:53" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 10:07:55" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 10:26:15" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 10:26:21" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 10:26:23" https://pubfilosofia.izt.uam.mx/index.php/pf/catalog/book/4 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 10:26:44" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:18:30" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:18:34" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:19:05" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:26:42" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:28:24" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:31:56" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:33:03" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:34:48" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:36:40" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:37:47" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:37:49" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:45:21" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:45:24" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
148.206.53.224 - - "2022-12-15 11:45:34" https://pubfilosofia.izt.uam.mx/index.php/pf/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
